-----------------------------------------------------------------------------------------------
ASK - NO
-----------------------------------------------------------------------------------------------
ASK  | DEPT    | GENRE  | NAME                | LINK
-----|---------|--------|---------------------|------------------------------------------------
no   | --      | --     | --                  | --
-----------------------------------------------------------------------------------------------
ASK - WAIT
-----------------------------------------------------------------------------------------------
ASK  | DEPT    | GENRE  | NAME                | LINK
-----|---------|--------|---------------------|------------------------------------------------
wait |         |        |                     | https://tiktok.com/@_twistedt
wait |         |        |                     | https://tiktok.com/@aaron___edward
wait |         |        |                     | https://tiktok.com/@advicefromlouisreloaded
wait |         |        |                     | https://tiktok.com/@agirlthatexistsyes
wait |         |        |                     | https://tiktok.com/@all.gouda
wait |         |        |                     | https://tiktok.com/@bigtugg
wait |         |        |                     | https://tiktok.com/@ckwon117
wait |         |        |                     | https://tiktok.com/@dianamistique
wait |         |        |                     | https://tiktok.com/@madeline_pendleton
wait |         |        |                     | https://tiktok.com/@odessa.azion
wait |         |        |                     | https://tiktok.com/@okpeach
wait |         |        |                     | https://tiktok.com/@saint.stirling
wait |         |        |                     | https://tiktok.com/@thebrokepopstar
wait |         |        |                     | https://tiktok.com/@x4tonno
wait |         |        |                     | https://tiktok.com/@zero.woolfe
wait |         |        | boogierae           | https://tiktok.com/@booogierae
wait |         |        | bryce_estelle       | https://tiktok.com/@blackryanseacrest
wait |         |        | cashgrabber9000     | https://tiktok.com/@holdenwindsoronline
wait |         |        | investigator_slater | https://tiktok.com/@investigatorslater
wait |         |        | jake_xo             | https://tiktok.com/@jake.xo
wait |         |        | nephie              | https://tiktok.com/@queennephi
wait |         |        | think_slavic        | https://tiktok.com/@think.slavic
wait |         | --     |                     | https://tiktok.com/@_carmaxlla_
wait |         | --     |                     | https://tiktok.com/@badbittyontheblock
wait |         | --     |                     | https://tiktok.com/@chloe.longname
wait |         | --     |                     | https://tiktok.com/@dutifulxdolly
wait |         | --     |                     | https://tiktok.com/@jennmelon
wait |         | --     |                     | https://tiktok.com/@kaelynn_vp
wait |         | --     |                     | https://tiktok.com/@lyracr0wo
wait |         | --     |                     | https://tiktok.com/@reinknite
wait |         | --     |                     | https://tiktok.com/@runabyt3
wait |         | --     |                     | https://tiktok.com/@scifiandswords
wait |         | --     |                     | https://tiktok.com/@the8thvault
wait |         | --     |                     | https://tiktok.com/@xstinamendez
wait | music   | --     | chisadamgaming      | https://tiktok.com/@chrisadamgaming
wait | writing | --     | joever              | https://tiktok.com/@freshcoralblast
wait | writing | comedy | clarey              | https://tiktok.com/@eclared
wait | writing | comedy | miss_demeanour      | https://tiktok.com/@themissdemeanour
wait |         |        |                     | https://tiktok.com/@nowahwhyse
wait |         |        |                     | https://tiktok.com/@adamnwhodeywant
wait |         |        |                     | https://tiktok.com/@puderschmude
wait |         |        |                     | https://tiktok.com/@nairabills
wait |         |        |                     | https://tiktok.com/@cypher.j
wait |         |        |                     | https://tiktok.com/@feldfrog
-----------------------------------------------------------------------------------------------
ASK - YES
-----------------------------------------------------------------------------------------------
ASK  | DEPT    | GENRE  | NAME                | LINK
-----|---------|--------|---------------------|------------------------------------------------
yes  | art     | --     | xander              | https://tiktok.com/@xanderartcraft
yes  | music   | --     | atarimatt           | https://tiktok.com/@atarimatt
yes  | music   | --     | chasexusa           | https://tiktok.com/@chasexusa
yes  | music   | comedy | bronco_lane         | https://tiktok.com/@boibronco
yes  | writing | --     | billfromunicef      | https://tiktok.com/@billfromunicef
yes  | writing | --     | celeste             | https://tiktok.com/@cele2t3
yes  | writing | --     | dewwwdropzzz        | https://tiktok.com/@dewwwdropzzz
yes  | writing | --     | donttagrob          | https://tiktok.com/@donttagrob
yes  | writing | --     | giovanna            | https://tiktok.com/@g2i2o2v2a2n2n2a2
yes  | writing | --     | khaos_punk          | https://tiktok.com/@khaospunk999
yes  | writing | --     | massivemouse        | https://tiktok.com/@massivemouse
yes  | writing | --     | mochayaps           | https://tiktok.com/@mochayappuccino2.0
yes  | writing | --     | snatxton            | https://tiktok.com/@snaxtonofficial
yes  | writing | --     | solomonica          | https://tiktok.com/@iamsolomonica
yes  | writing | --     | zebadiah_collins    | https://tiktok.com/@z.ebb
yes  | writing | comedy | billy_myers_3       | https://tiktok.com/@mrbillymyers3
yes  | writing | comedy | boss_hoggins        | https://tiktok.com/@boss.hoggins
yes  | writing | comedy | delamomanny         | https://tiktok.com/@delamomanny
yes  | writing | comedy | drew_staats         | https://tiktok.com/@drewstaatsx
yes  | writing | comedy | eelfeel             | https://tiktok.com/@eelfeel
yes  | writing | comedy | gigachadgirlwife    | https://tiktok.com/@gigagirlchadwife
yes  | writing | comedy | joan                | https://tiktok.com/@justpeers
yes  | writing | comedy | jojoblacco          | https://tiktok.com/@jojoblacco
yes  | writing | comedy | luckycarderik       | https://tiktok.com/@luckycarderik
yes  | writing | comedy | mayor_wren          | https://tiktok.com/@mayor_wren
yes  | writing | comedy | mr_psychology       | https://tiktok.com/@misterpsychology
yes  | writing | comedy | nate_carney         | https://tiktok.com/@gaptooth._
yes  | writing | comedy | nomdecoom           | https://tiktok.com/@nomdecoom
yes  | writing | comedy | pawgsauce           | https://tiktok.com/@pawgsauce
yes  | writing | comedy | pineapple_honeydew  | https://tiktok.com/@pineapple.honeydew
yes  | writing | comedy | rain_man            | https://tiktok.com/@rbkabe
