---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ASSETS BY SERVICE
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
LIST | LABEL     | PROJECT              || SERVICE        | ADMIN               | SITE               | ASSET                 | COST | LINK                                       | DESCRIPTION
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | BELIMOTH             || aws.amazon.com | belimoth            | --                 | --                    | --   | http://aws.amazon.com                      | service
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | SUBHELION            || belimoth.com   | belimoth            | cafe.belimoth.com  | --                    | --   | http://cafe.belimoth.com                   | knowledge base
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | BELIMOTH             || bsky.social    | belimoth            | bsky.social        | belimoth.bsky.social  | --   | http://bsky.app/profile/belimoth.com       | social media profile
--   | SUBHELION | SUBHELION            || bsky.social    | admin@subhelion.com | bsky.social        | subhelion.bsky.social | --   | http://bsky.app/profile/subhelion.com      | social media profile
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | BELIMOTH             || hover.com      | belimoth            | --                 | --                    | --   | http://hover.com                           | service
--   | SUBHELION | BELIMOTH             || hover.com      | belimoth            | belimoth.com       | --                    | --   | http://belimoth.com                        | forward to belimoth.itch.io
--   | SUBHELION | DREAD CHECK          || hover.com      | belimoth            | draugb.com         | --                    | --   | http://draugb.com                          | forward to itch.io/draugb
--   | SUBHELION | DREAD CHECK          || hover.com      | belimoth            | dreadcheck.com     | --                    | --   | http://dreadcheck.com                      | forward to subhelion.itch.io
--   | SUBHELION | SUBHELION            || hover.com      | belimoth            | subhelion.com      | --                    | --   | http://subhelion.com                       | forward to subhelion.itch.io
--   | SUBHELION | SUBHELION            || hover.com      | belimoth            | subhelion.com      | admin@subhelion.com   | --   | mail://admin@subhelion.com                 | forward to belimoth
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | BELIMOTH             || itch.io        | belimoth            | belimoth.itch.io   | --                    | --   | http://belimoth.itch.io                    | site
$ 10 | SUBHELION | DREAD CHECK          || itch.io        | admin@subhelion.com | subhelion.itch.io  | DREAD CHECK           | --   | http://subhelion.itch.io/dread-check       | desktop game gold poor
$120 | SUBHELION | DREAD CHECK          || itch.io        | admin@subhelion.com | subhelion.itch.io  | DREAD CHECK SUPER     | --   | http://subhelion.itch.io/dread-check-super | desktop game bundle rich
FREE | SUBHELION | DREAD CHECK          || itch.io        | admin@subhelion.com | subhelion.itch.io  | DREAD CHECK BRAVO     | --   | http://subhelion.itch.io/dread-check-bravo | desktop game beta free
FREE | SUBHELION | DREAD CHECK          || itch.io        | belimoth            | belimoth.itch.io   | DREAD CHECK ALPHA     | --   | http://belimoth.itch.io/draugb             | desktop game alpha
$  5 | SUBHELION | DREAD CHECK PROFILES || itch.io        | admin@subhelion.com | subhelion.itch.io  | DREAD CHECK ZINE      | --   | http://subhelion.itch.io/zine              | art
FREE | SUBHELION | DREAD CHECK PROFILES || itch.io        | admin@subhelion.com | subhelion.itch.io  | SWAT CITY SCANNER     | --   | http://subhelion.itch.io/swat-scanner      | web game
FREE | SUBHELION | DREAD CHECK PROFILES || itch.io        | admin@subhelion.com | subhelion.itch.io  | SWAT CITY SKINNER     | --   | http://subhelion.itch.io/swat-skinner      | web game
FREE | SUBHELION | DREAD CHECK PROFILES || itch.io        | admin@subhelion.com | subhelion.itch.io  | SWAT CITY SWIMMER     | --   | http://subhelion.itch.io/swat-swimmer      | web game
--   | SUBHELION | SUBHELION            || itch.io        | admin@subhelion.com | subhelion.itch.io  | --                    | --   | http://subhelion.itch.io                   | site
-----|-----------|----------------------||----------------|---------------------|--------------------|-----------------------|------|--------------------------------------------|-----------------------------
--   | SUBHELION | SUBHELION            || subhelion.com  | belimoth            | cafe.subhelion.com | --                    | --   | http://cafe.subhelion.com                  | knowledge base
