LIFE         | KEY                          | LINK
-------------|------------------------------|-----------------------------------------------------------------------------
1860 -- 1939 | alphonse_mucha               | http://www.muchafoundation.org
1893 -- 1987 | stanislaw_szukalski          | http://www.szukalski.com
1896 -- 1970 | gustaf_tenggren              | http://www.gustaftenggren.com
1917 -- 2011 | leonora_carrington           | http://www.leocarrington.com
1928 -- 2001 | josh_kirby                   | http://www.joshkirbyart.com
1930 --      | stephen_fabian               | http://stephenfabian.com
1932 -- 2008 | john_berkey                  | http://www.johnberkey.com
1933 -- 2019 | syd_mead                     | http://sydmead.com
1938 --      | ralph_bakshi                 | http://www.bakshistudio.com
1940 -- 2018 | hariton_pushwanger           | http://www.pushwagner.no
1940 -- 2020 | richard_corben               | http://corbenstudios.com
1943 -- 2020 | juan_gimenez                 | http://www.juangimenez.com
1944 --      | bruce_pennington             | http://www.brucepennington.co.uk
1944 --      | philippe_druillet            | http://www.philippedruillet.com
1944 --      | roger_dean                   | http://www.rogerdean.com
1944 -- 2011 | jeffrey_catherine_jones      | http://web.archive.org/web/20110908023201/http://www.jeffreyjones-art.com
1946 --      | chris_foss                   | http://www.chrisfossart.com
1951 --      | p_craig_russell              | http://web.archive.org/web/20231109132336/http://www.artofpcraigrussell.com
1951 --      | peter_andrew_jones           | http://peterandrewjones.net
1952 --      | yoshitaka_amano              | http://www.yoshitakaamano.com
1960 --      | brendan_mccarthy             | http://www.artbrendan.com
1960 --      | mike_mignola                 | http://www.artofmikemignola.com
1962 --      | doug_chiang                  | http://www.dchiang.com
1963 --      | daniel_merriam               | http://bubblestreetgallery.com
1963 --      | katsuya_terada               | http://cacazan.com
1963 --      | thomas_thiemeyer             | http://www.thiemeyer.de
1969 --      | olivier_ledroit              | http://www.olivier-ledroit.com
1969 --      | shintaro_kago                | http://kagosin.exblog.jp
1969 -- 2010 | alexander_mcqueen            | http://www.alexandermcqueen.com
1971 --      | tsutomu_nihei                | http://web.archive.org/web/20240330214015/http://toahi.net
1973 --      | kris_kuksi                   | http://www.kuksi.com
1980 --      | laurent_gapaillard           | http://www.laurentgapaillard.com
1983 --      | aristotle_roufanis           | http://aristotle.photography
1984 --      | simon_stalenhag              | http://www.simonstalenhag.se
1987 --      | michael_deforge              | http://www.michael-deforge.com
---- --      | jakub_rebelka                | http://shzrebelka.com
---- --      | katsuhiro_otomo              | http://otomo-complete.com
---- --      | ryoko_kui                    | http://nisiryu.blogspot.com
---- --      | sean_andrew_murray           | http://www.seanandrewmurray.com
---- --      | wayne_barlowe                | http://waynebarlowe.com
