LIFE         | KEY                     | LINK
-------------|-------------------------|----------------------------------------------------------------
1450 -- 1516 | hieronymus_bosch        | http://en.wikipedia.org/wiki/Hieronymus_Bosch
1525 -- 1569 | pieter_bruegel          | http://en.wikipedia.org/wiki/Pieter_Bruegel_the_Elder
1593 -- 1644 | francois_de_nome        | http://en.wikipedia.org/wiki/François_de_Nomé
1593 -- 1652 | georges_de_la_tour      | http://en.wikipedia.org/wiki/Georges_de_La_Tour
1720 -- 1778 | piranesi                | http://en.wikipedia.org/wiki/Giovanni_Battista_Piranesi
1733 -- 1808 | hubert_robert           | http://en.wikipedia.org/wiki/Hubert_Robert
1775 -- 1851 | jmw_turner              | http://en.wikipedia.org/wiki/J._M._W._Turner
1826 -- 1898 | gustave_moreau          | http://en.wikipedia.org/wiki/Gustave_Moreau
1830 -- 1904 | eadweard_muybridge      | http://en.wikipedia.org/wiki/Eadweard_Muybridge
1831 -- 1892 | peter_nicolai_arbo      | http://en.wikipedia.org/wiki/Peter_Nicolai_Arbo
1832 -- 1883 | gustave_dore            | http://en.wikipedia.org/wiki/Gustave_Doré
1833 -- 1900 | edouard_riou            | http://en.wikipedia.org/wiki/Édouard_Riou
1848 -- 1910 | kurd_lasswitz           | http://en.wikipedia.org/wiki/Kurd_Lasswitz
1849 -- 1917 | john_william_waterhouse | http://en.wikipedia.org/wiki/John_William_Waterhouse
1854 -- 1932 | rudolf_ernst            | http://en.wikipedia.org/wiki/Rudolf_Ernst
1856 -- 1910 | mikhail_vrubel          | http://en.wikipedia.org/wiki/Mikhail_Vrubel
1860 -- 1939 | alphonse_mucha          | http://en.wikipedia.org/wiki/Alphonse_Mucha
1862 -- 1918 | gustav_klimt            | http://en.wikipedia.org/wiki/Gustav_Klimt
1867 -- 1939 | arthur_rackham          | http://en.wikipedia.org/wiki/Arthur_Rackham
1871 -- 1957 | frantisek_kupka         | http://en.wikipedia.org/wiki/Franti%C5%A1ek_Kupka
1874 -- 1951 | jc_Leyendecker          | http://en.wikipedia.org/wiki/J._C._Leyendecker
1876 -- 1910 | henrique_alvim_correa   | http://en.wikipedia.org/wiki/Henrique_Alvim_Corrêa
1876 -- 1942 | ivan_bilibin            | http://en.wikipedia.org/wiki/Ivan_Bilibin
1879 -- 1955 | stepan_kolesnikov       | http://en.wikipedia.org/wiki/Stepan_Kolesnikoff
1880 -- 1958 | daniel_garber           | http://en.wikipedia.org/wiki/Daniel_Garber
1882 -- 1918 | john_bauer              | http://en.wikipedia.org/wiki/John_Bauer_(illustrator)
1882 -- 1953 | edmund_dulac            | http://en.wikipedia.org/wiki/Edmund_Dulac
1884 -- 1936 | jules_courvoisier       | http://fr.wikipedia.org/wiki/Jules_Courvoisier
1886 -- 1957 | kay_nielsen             | http://en.wikipedia.org/wiki/Kay_Nielsen
1893 -- 1987 | stanislaw_szukalski     | http://en.wikipedia.org/wiki/Stanisław_Szukalski
1896 -- 1970 | gustaf_tenggren         | http://en.wikipedia.org/wiki/Gustaf_Tenggren
1904 -- 1989 | salvador_dali           | http://en.wikipedia.org/wiki/Salvador_Dalí
1908 -- 1963 | remedios_varo           | http://en.wikipedia.org/wiki/Remedios_Varo
1915 -- 2002 | bill_peet               | http://en.wikipedia.org/wiki/Bill_Peet
1916 -- 2000 | eyvind_earle            | http://en.wikipedia.org/wiki/Eyvind_Earle
1917 -- 1994 | jack_kirby              | http://en.wikipedia.org/wiki/Jack_Kirby
1917 -- 2011 | leonora_carrington      | http://en.wikipedia.org/wiki/Leonora_Carrington
1918 -- 1997 | paul_rudolph            | http://en.wikipedia.org/wiki/Paul_Rudolph_(architect)
1920 -- 2014 | zhu_dequn               | http://en.wikipedia.org/wiki/Chu_Teh-Chun
1922 -- 2019 | monir_farmanfarmaian    | http://en.wikipedia.org/wiki/Monir_Shahroudy_Farmanfarmaian
1927 -- 2018 | steve_ditko             | http://en.wikipedia.org/wiki/Steve_Ditko
1928 -- 1979 | johnstone_twins         | http://en.wikipedia.org/wiki/Janet_and_Anne_Grahame_Johnstone
1928 -- 2001 | josh_kirby              | http://en.wikipedia.org/wiki/Josh_Kirby
1928 -- 2010 | frank_frazetta          | http://en.wikipedia.org/wiki/Frank_Frazetta
1929 -- 2005 | zdzislaw_beksinski      | http://en.wikipedia.org/wiki/Zdzisław_Beksiński
1930 --      | stephen_fabian          | http://en.wikipedia.org/wiki/Stephen_Fabian
1932 -- 2008 | john_berkey             | http://en.wikipedia.org/wiki/John_Berkey
1933 -- 2019 | syd_mead                | http://en.wikipedia.org/wiki/Syd_Mead
1935 -- 2010 | john_schoenherr         | http://en.wikipedia.org/wiki/John_Schoenherr
1935 -- 2015 | noriyoshi_ohrai         | http://en.wikipedia.org/wiki/Noriyoshi_Ohrai
1938 --      | ralph_bakshi            | http://en.wikipedia.org/wiki/Ralph_Bakshi
1938 -- 2012 | moebius                 | http://en.wikipedia.org/wiki/Jean_Giraud
1940 -- 2018 | hariton_pushwanger      | http://en.wikipedia.org/wiki/Hariton_Pushwagner
1940 -- 2020 | richard_corben          | http://en.wikipedia.org/wiki/Richard_Corben
1941 --      | caza                    | http://en.wikipedia.org/wiki/Caza
1943 -- 2020 | juan_gimenez            | http://en.wikipedia.org/wiki/Juan_Giménez
1944 --      | bruce_pennington        | http://en.wikipedia.org/wiki/Bruce_Pennington
1944 --      | philippe_druillet       | http://en.wikipedia.org/wiki/Philippe_Druillet
1944 --      | roger_dean              | http://en.wikipedia.org/wiki/Roger_Dean_(artist)
1944 -- 2011 | jeffrey_catherine_jones | http://en.wikipedia.org/wiki/Jeffrey_Catherine_Jones
1946 --      | chris_foss              | http://en.wikipedia.org/wiki/Chris_Foss
1948 --      | erik_desmazieres        | http://en.wikipedia.org/wiki/Érik_Desmazières
1951 --      | p_craig_russell         | http://en.wikipedia.org/wiki/P._Craig_Russell
1951 --      | peter_andrew_jones      | http://en.wikipedia.org/wiki/Peter_Andrew_Jones
1952 --      | yoshitaka_amano         | http://en.wikipedia.org/wiki/Yoshitaka_Amano
1954 --      | katsuhiro_otomo         | http://en.wikipedia.org/wiki/Katsuhiro_Otomo
1960 --      | brendan_mccarthy        | http://en.wikipedia.org/wiki/Brendan_McCarthy
1960 --      | koike_keiichi           | http://en.wikipedia.org/wiki/Keiichi_Koike
1960 --      | mike_mignola            | http://en.wikipedia.org/wiki/Mike_Mignola
1962 --      | doug_chiang             | http://en.wikipedia.org/wiki/Doug_Chiang
1963 --      | daniel_merriam          | http://en.wikipedia.org/wiki/Daniel_Merriam
1963 --      | katsuya_terada          | http://en.wikipedia.org/wiki/Katsuya_Terada
1963 --      | thomas_thiemeyer        | http://en.wikipedia.org/wiki/Thomas_Thiemeyer
1964 --      | kazuma_kaneko           | http://en.wikipedia.org/wiki/Kazuma_Kaneko
1969 --      | olivier_ledroit         | http://en.wikipedia.org/wiki/Olivier_Ledroit
1969 --      | shintaro_kago           | http://en.wikipedia.org/wiki/Shintaro_Kago
1969 -- 2010 | alexander_mcqueen       | http://en.wikipedia.org/wiki/Alexander_McQueen
1971 --      | tsutomu_nihei           | http://en.wikipedia.org/wiki/Tsutomu_Nihei
1973 --      | kris_kuksi              | http://en.wikipedia.org/wiki/Kris_Kuksi
1984 --      | simon_stalenhag         | http://en.wikipedia.org/wiki/Simon_Stålenhag
1987 --      | michael_deforge         | http://en.wikipedia.org/wiki/Michael_DeForge
---- --      | ryoko_kui               | http://en.wikipedia.org/wiki/Ryoko_Kui
---- --      | wayne_barlowe           | http://en.wikipedia.org/wiki/Wayne_Barlowe
