LIFE         | KEY                | HOME
-------------|--------------------|-----------------------------------
1917 -- 2008 | arthur_c_clarke    | http://clarkefoundation.org
1918 -- 2009 | philip_jose_farmer | http://www.pjfarmer.com
1919 -- 2013 | frederik_pohl      | http://www.frederikpohl.com
1920 -- 2012 | ray_bradbury       | http://raybradbury.com
1925 -- 2017 | brian_aldiss       | http://brianaldiss.co.uk
1929 -- 2018 | ursula_k_le_guin   | http://www.ursulakleguin.com
1938 --      | larry_niven        | http://larryniven.net
1939 --      | margaret_atwood    | http://margaretatwood.ca
1942 -- 2008 | michael_crichton   | http://www.michaelcrichton.com
1947 --      | brian_herbert      | http://www.brianherbertnovels.com
1947 --      | john_varley        | http://varley.net
1948 --      | william_gibson     | http://williamgibsonbooks.com
1948 -- 2015 | terry_pratchett    | http://www.terrypratchettbooks.com
1951 -- 2022 | greg_bear          | http://gregbear.com
1957 --      | stephen_baxter     | http://www.stephen-baxter.com
1959 --      | neal_stephenson    | http://nealstephenson.com
1961 --      | greg_egan          | http://www.gregegan.net
1962 --      | jane_lindskold     | http://janelindskold.com
1962 --      | kevin_j_anderson   | http://wordfire.com
1964 --      | eric_nylund        | http://ericnylund.net
1968 --      | jeff_vandermeer    | http://www.jeffvandermeer.com
1971 --      | elizabeth_bear     | http://www.elizabethbear.com
