LIFE         | KEY                  | LINK
-------------|----------------------|-----------------------------------------------------------
1828 -- 1905 | jules_verne          | http://en.wikipedia.org/wiki/Jules_Verne
1835 -- 2910 | mark_twain           | http://en.wikipedia.org/wiki/Mark_Twain
1865 -- 1936 | rudyard_kipling      | http://en.wikipedia.org/wiki/Rudyard_Kipling
1866 -- 1946 | hg_wells             | http://en.wikipedia.org/wiki/H._G._Wells
1874 -- 1915 | jerzy_zulawski       | http://en.wikipedia.org/wiki/Jerzy_Żuławski
1876 -- 1945 | david_lindsay        | http://en.wikipedia.org/wiki/David_Lindsay_(novelist)
1886 -- 1950 | olaf_stapledon       | http://en.wikipedia.org/wiki/Olaf_Stapledon
1890 -- 1937 | hp_lovecraft         | http://en.wikipedia.org/wiki/H._P._Lovecraft
1892 -- 1973 | jrr_tolkien          | http://en.wikipedia.org/wiki/J._R._R._Tolkien
1894 -- 1963 | aldous_huxley        | http://en.wikipedia.org/wiki/Aldous_Huxley
1898 -- 1963 | cs_lewis             | http://en.wikipedia.org/wiki/C._S._Lewis
1903 -- 1969 | john_wyndham         | http://en.wikipedia.org/wiki/John_Wyndham
1907 -- 1988 | robert_heinlein      | http://en.wikipedia.org/wiki/Robert_A._Heinlein
1912 -- 2000 | ae_van_vogt          | http://en.wikipedia.org/wiki/A._E._van_Vogt
1917 -- 2008 | arthur_c_clarke      | http://en.wikipedia.org/wiki/Arthur_C._Clarke
1918 -- 2009 | philip_jose_farmer   | http://en.wikipedia.org/wiki/Philip_José_Farmer
1919 -- 2013 | frederik_pohl        | http://en.wikipedia.org/wiki/Frederik_Pohl
1920 -- 1986 | frank_herbert        | http://en.wikipedia.org/wiki/Frank_Herbert
1920 -- 1992 | isaac_asimov         | http://en.wikipedia.org/wiki/Isaac_Asimov
1920 -- 2012 | ray_bradbury         | http://en.wikipedia.org/wiki/Ray_Bradbury
1921 -- 2006 | stanislaw_lem        | http://en.wikipedia.org/wiki/Stanisław_Lem
1922 -- 2003 | hal_clement          | http://en.wikipedia.org/wiki/Hal_Clement
1922 -- 2007 | kurt_vonnegut        | http://en.wikipedia.org/wiki/Kurt_Vonnegut
1925 -- 1991 | arkady_strugatsky    | http://en.wikipedia.org/wiki/Arkady_and_Boris_Strugatsky
1925 -- 2017 | brian_aldiss         | http://en.wikipedia.org/wiki/Brian_Aldiss
1926 -- 2001 | poul_anderson        | http://en.wikipedia.org/wiki/Poul_Anderson
1928 -- 1982 | philip_k_dick        | http://en.wikipedia.org/wiki/Philip_K._Dick
1929 -- 2018 | ursula_k_le_guin     | http://en.wikipedia.org/wiki/Ursula_K._Le_Guin
1930 -- 2009 | jg_ballard           | http://en.wikipedia.org/wiki/J._G._Ballard
1931 -- 2019 | gene_wolfe           | http://en.wikipedia.org/wiki/Gene_Wolfe
1933 -- 2012 | boris_strugatsky     | http://en.wikipedia.org/wiki/Arkady_and_Boris_Strugatsky
1934 -- 2018 | harlan_ellison       | http://en.wikipedia.org/wiki/Harlan_Ellison
1937 -- 1995 | roger_zelazny        | http://en.wikipedia.org/wiki/Roger_Zelazny
1938 --      | larry_niven          | http://en.wikipedia.org/wiki/Larry_Niven
1939 --      | margaret_atwood      | http://en.wikipedia.org/wiki/Margaret_Atwood
1941 --      | gregory_benford      | http://en.wikipedia.org/wiki/Gregory_Benford
1942 -- 2008 | michael_crichton     | http://en.wikipedia.org/wiki/Michael_Crichton
1942 -- 2020 | mike_resnick         | http://en.wikipedia.org/wiki/Mike_Resnick
1947 --      | brian_herbert        | http://en.wikipedia.org/wiki/Brian_Herbert
1947 --      | john_varley          | http://en.wikipedia.org/wiki/John_Varley_(author)
1948 --      | dan_simmons          | http://en.wikipedia.org/wiki/Dan_Simmons
1948 --      | william_gibson       | http://en.wikipedia.org/wiki/William_Gibson
1948 -- 2015 | terry_pratchett      | http://en.wikipedia.org/wiki/Terry_Pratchett
1951 --      | orson_scott_card     | http://en.wikipedia.org/wiki/Orson_Scott_Card
1951 -- 2022 | greg_bear            | http://en.wikipedia.org/wiki/Greg_Bear
1952 --      | kim_stanley_robinson | http://en.wikipedia.org/wiki/Kim_Stanley_Robinson
1954 -- 2013 | iain_banks           | http://en.wikipedia.org/wiki/Iain_Banks
1957 --      | stephen_baxter       | http://en.wikipedia.org/wiki/Stephen_Baxter_(author)
1959 --      | neal_stephenson      | http://en.wikipedia.org/wiki/Neal_Stephenson
1961 --      | greg_egan            | http://en.wikipedia.org/wiki/Greg_Egan
1962 --      | jane_lindskold       | http://en.wikipedia.org/wiki/Jane_Lindskold
1962 --      | kevin_j_anderson     | http://en.wikipedia.org/wiki/Kevin_J._Anderson
1964 --      | eric_nylund          | http://en.wikipedia.org/wiki/Eric_Nylund
1968 --      | jeff_vandermeer      | http://en.wikipedia.org/wiki/Jeff_VanderMeer
1971 --      | elizabeth_bear       | http://en.wikipedia.org/wiki/Elizabeth_Bear
