TYPE  | YEAR | TITLE                                     | PLATFORM
------|------|-------------------------------------------|--------------------------------------------
game  | 2007 | Assassin's Creed                          | WIN X360 PS3
game  | 2008 | Assassin's Creed: Altaïr's Chronicles     | ANDROID SYMBIAN IOS WEBOS WINPHONE NDS
game  | 2009 | Assassin's Creed II                       | WIN X360 XBOX1 PS3 PS4 OSX SWITCH
game  | 2009 | Assassin's Creed II: Discovery            | IOS NDS
game  | 2009 | Assassin's Creed: Bloodlines              | PSP
game  | 2010 | Assassin's Creed: Brotherhood             | WIN X360 XBOX1 PS3 PS4 OSX SWITCH
game  | 2010 | Assassin's Creed: Project Legacy          | WEB
game  | 2011 | Assassin's Creed Revelations              | WIN X360 XBOX1 PS3 PS4 SWITCH
game  | 2011 | Assassin's Creed: Multiplayer Rearmed     | PHONE IPODT
game  | 2011 | Assassin's Creed: Recollection            | IPAD IPHONE IPODT
game  | 2012 | Assassin's Creed III                      | WIN X360 XBOX1 PS3 PS4 WIIU SWITCH STADIA
game  | 2012 | Assassin's Creed III: Liberation          | WIN X360 XBOX1 PS3 PS4 PSVITA SWITCH STADIA
game  | 2013 | Assassin's Creed IV: Black Flag           | WIN X360 XBOX1 PS3 PS4 WIIU SWITCH STADIA
game  | 2014 | Assassin's Creed Freedom Cry              | WIN X360 XBOX1 PS3 PS4 SWITCH
game  | 2014 | Assassin's Creed Rogue                    | WIN X360 XBOX1 PS3 PS4 SWITCH STADIA
game  | 2014 | Assassin's Creed Unity                    | WIN XBOX1 PS4 STADIA
game  | 2014 | Assassin's Creed: Memories                | IOS
game  | 2014 | Assassin's Creed: Pirates                 | ANDROID IOS
game  | 2015 | Assassin's Creed Chronicles: China        | WIN XBOX1 PS4 PSVITA
game  | 2015 | Assassin's Creed Syndicate                | WIN XBOX1 PS4 STADIA
game  | 2016 | Assassin's Creed Chronicles: India        | WIN XBOX1 PS4 PSVITA
game  | 2016 | Assassin's Creed Chronicles: Russia       | WIN XBOX1 PS4 PSVITA
game  | 2016 | Assassin's Creed Identity                 | ANDROID IOS
game  | 2017 | Assassin's Creed Origins                  | WIN XBOX1 PS4 STADIA
game  | 2017 | Assassin's Creed Unity: Arno's Chronicles | ANDROD
game  | 2018 | Assassin's Creed Odyssey                  | WIN XBOX1 PS4 STADIA
game  | 2018 | Assassin's Creed Rebellion                | ANDROID IOS
game  | 2020 | Assassin's Creed Valhalla                 | WIN XBOX1 XBOXX PS4 PS5 STADIA
game  | 2023 | Assassin's Creed Mirage                   | WIN XBOX1 XBOXX PS4 PS5 IOS
game  | 2023 | Assassin's Creed Nexus VR                 | QUEST2 QUEST3 QUESTPRO
game  | 2025 | Assassin's Creed Shadows                  | WIN XBOXX PS5 OSX SWITCH2
