---------------------------------------------------------------------------
TYPE  | YEAR | TITLE
------|------|-------------------------------------------------------------
book  | 2003 | Underworld
book  | 2004 | Blood Enemy
book  | 2005 | Evolution
book  | 2008 | Rise of the Lycans
------|------|-------------------------------------------------------------
comic | 2003 | Underworld
comic | 2004 | Red in Tooth and Claw
comic | 2005 | Evolution
comic | 2008 | Rise of the Lycans
comic | 2017 | Blood Wars
------|------|-------------------------------------------------------------
film  | 2003 | Underworld
film  | 2006 | Underworld: Evolution
film  | 2009 | Underworld: Rise of the Lycans
film  | 2011 | Underworld: Endless War (Short)
film  | 2012 | Underworld: Awakening
film  | 2016 | Underworld: Blood Wars
------|------|-------------------------------------------------------------
game  | 2004 | Underworld: The Eternal War
