TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
anime | 1937 | Snow White and the Seven Dwarfs                                | Disney        | --                     | --                       | --
anime | 1940 | Fantasia                                                       | Disney        | --                     | --                       | --
anime | 1940 | Pinocchio                                                      | Disney        | --                     | --                       | --
anime | 1941 | Dumbo                                                          | Disney        | --                     | --                       | --
anime | 1942 | Bambi                                                          | Disney        | --                     | --                       | --
anime | 1950 | Cinderella                                                     | Disney        | --                     | --                       | --
anime | 1951 | Alice in Wonderland                                            | Disney        | --                     | --                       | --
anime | 1953 | Peter Pan                                                      | Disney        | --                     | --                       | --
anime | 1955 | Lady and the Tramp                                             | Disney        | --                     | --                       | --
anime | 1959 | Sleeping Beauty                                                | Disney        | --                     | --                       | --
anime | 1961 | One Hundred and One Dalmatians                                 | Disney        | --                     | --                       | --
anime | 1964 | Rudolph the Red-Nosed Reindeer                                 | Christmas     | Rankin & Bass          | --                       | --
anime | 1967 | The Jungle Book                                                | Disney        | --                     | --                       | --
anime | 1969 | Frosty the Snowman                                             | Christmas     | Rankin & Bass          | --                       | --
anime | 1970 | The Aristocats                                                 | Disney        | --                     | --                       | --
anime | 1973 | Belladonna of Sadness                                          | --            | --                     | --                       | --
anime | 1973 | Charlotte's Web                                                | --            | --                     | --                       | --
anime | 1973 | Fantastic Planet                                               | --            | René Laloux            | scifi                    | --
anime | 1973 | Robin Hood                                                     | Disney        | --                     | --                       | --
anime | 1977 | The Hobbit                                                     | --            | --                     | --                       | --
anime | 1977 | The Many Adventures of Winnie the Pooh                         | Disney        | --                     | --                       | --
anime | 1977 | The Rescuers                                                   | Disney        | --                     | --                       | --
anime | 1977 | Wizards                                                        | --            | --                     | --                       | --
anime | 1978 | The Lord of the Rings                                          | --            | --                     | --                       | --
anime | 1978 | Watership Down                                                 | --            | --                     | --                       | --
anime | 1981 | Son of the White Mare                                          | --            | --                     | --                       | --
anime | 1981 | The Fox and the Hound                                          | --            | --                     | --                       | --
anime | 1982 | Gandahar                                                       | --            | René Laloux            | scifi                    | --
anime | 1982 | The Last Unicorn                                               | --            | --                     | --                       | --
anime | 1982 | The Secret of NIMH                                             | --            | --                     | --                       | --
anime | 1982 | Time Masters                                                   | --            | René Laloux            | scifi                    | --
anime | 1984 | Nausicaä of the Valley of the Wind                             | --            | --                     | --                       | --
anime | 1986 | An American Tail                                               | --            | --                     | --                       | --
