TYPE  | YEAR | TITLE                                                          | FRANCHISE     | BY                     | TAG                      | LINK
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
film  | 1915 | The Birth of a Nation                                          | --            | --                     | --                       | --
film  | 1920 | The Cabinet of Dr. Caligari                                    | --            | --                     | --                       | --
film  | 1922 | Nosferatu                                                      | --            | --                     | --                       | --
film  | 1927 | Metropolis                                                     | --            | --                     | --                       | --
film  | 1931 | Frankenstein                                                   | --            | --                     | --                       | --
film  | 1931 | M                                                              | --            | --                     | --                       | --
film  | 1932 | The Mummy                                                      | --            | --                     | --                       | --
film  | 1932 | White Zombie                                                   | --            | --                     | --                       | --
film  | 1935 | Triumph of the Will                                            | --            | --                     | --                       | --
film  | 1936 | Swing Time                                                     | --            | --                     | --                       | --
film  | 1938 | Alexander Nevsky                                               | --            | --                     | --                       | --
film  | 1939 | The Wizard of Oz                                               | --            | --                     | --                       | --
film  | 1946 | Song of the South                                              | --            | --                     | --                       | --
film  | 1947 | Black Narcissus                                                | --            | --                     | --                       | --
film  | 1950 | Harvey                                                         | --            | --                     | --                       | --
film  | 1950 | Rashomon                                                       | --            | --                     | --                       | --
film  | 1951 | The Day the Earth Stood Still                                  | --            | --                     | --                       | --
film  | 1952 | Ikiru                                                          | --            | --                     | --                       | --
film  | 1953 | The War of the Worlds                                          | --            | --                     | --                       | --
film  | 1954 | 20,000 Leagues Under the Sea                                   | --            | --                     | --                       | --
film  | 1954 | Brigadoon                                                      | --            | --                     | --                       | --
film  | 1954 | Godzilla                                                       | --            | --                     | --                       | --
film  | 1954 | Gog                                                            | --            | --                     | --                       | --
film  | 1954 | Rear Window                                                    | --            | --                     | --                       | --
film  | 1954 | Sansho the Bailiff                                             | --            | --                     | --                       | --
film  | 1954 | Seven Samurai                                                  | --            | --                     | --                       | --
film  | 1956 | Forbidden Planet                                               | --            | --                     | --                       | --
film  | 1957 | Mayabazar                                                      | --            | --                     | --                       | --
