 _ | film  | 1979 | The Warriors                                                   | --
 x | anime | 1937 | Snow White and the Seven Dwarfs                                | --
 x | anime | 1940 | Fantasia                                                       | --
 x | anime | 1940 | Pinocchio                                                      | --
 x | anime | 1941 | Dumbo                                                          | --
 x | anime | 1942 | Bambi                                                          | --
 x | anime | 1950 | Cinderella                                                     | --
 x | anime | 1951 | Alice in Wonderland                                            | --
 x | anime | 1953 | Peter Pan                                                      | --
 x | anime | 1955 | Lady and the Tramp                                             | --
 x | anime | 1959 | Sleeping Beauty                                                | --
 x | anime | 1961 | One Hundred and One Dalmatians                                 | --
 x | anime | 1964 | Rudolph the Red-Nosed Reindeer                                 | --
 x | anime | 1967 | The Jungle Book                                                | --
 x | anime | 1969 | Frosty the Snowman                                             | --
 x | anime | 1970 | The Aristocats                                                 | ♥
 x | anime | 1973 | Belladonna of Sadness                                          | --
 x | anime | 1973 | Charlotte's Web                                                | --
 x | anime | 1973 | Fantastic Planet                                               | ♥
 x | anime | 1973 | Robin Hood                                                     | --
 x | anime | 1977 | The Many Adventures of Winnie the Pooh                         | --
 x | anime | 1977 | The Rescuers                                                   | ♥ --
 x | anime | 1977 | Wizards                                                        | ♥ ★★★★ this slaps actually, i was wrong
 x | anime | 1978 | The Lord of the Rings                                          | --
 x | anime | 1978 | Watership Down                                                 | --
 x | anime | 1981 | The Fox and the Hound                                          | --
 x | anime | 1982 | The Last Unicorn                                               | ♥
 x | anime | 1982 | The Secret of NIMH                                             | ♥
 x | anime | 1985 | Angel's Egg                                                    | ♥
 x | anime | 1986 | An American Tail                                               | --
 x | anime | 1986 | Fist of the North Star                                         | ♥
 x | anime | 1986 | The Great Mouse Detective                                      | --
 x | anime | 1987 | The Brave Little Toaster                                       | --
 x | anime | 1988 | Grave of the Fireflies                                         | --
 x | anime | 1988 | My Neighbor Totoro                                             | --
 x | anime | 1988 | Oliver & Company                                               | --
 x | anime | 1988 | The Land Before Time                                           | ♥
 x | anime | 1989 | All Dogs Go to Heaven                                          | --
 x | anime | 1989 | Kiki's Delivery Service                                        | --
 x | anime | 1989 | The Little Mermaid                                             | --
 x | anime | 1990 | The Rescuers Down Under                                        | --
 x | anime | 1991 | An American Tail: Fievel Goes West                             | --
 x | anime | 1991 | Beauty and the Beast                                           | --
 x | anime | 1992 | Aladdin                                                        | --
 x | anime | 1992 | FernGully: The Last Rainforest                                 | ♥
 x | anime | 1993 | Ninja Scroll                                                   | --
 x | anime | 1993 | The Thief and the Cobbler                                      | --
 x | anime | 1994 | The Lion King                                                  | --
 x | anime | 1994 | The Return of Jafar                                            | --
 x | anime | 1994 | The Swan Princess                                              | --
 x | anime | 1995 | A Goofy Movie                                                  | --
 x | anime | 1995 | Balto                                                          | --
 x | anime | 1995 | Pocahontas                                                     | --
 x | anime | 1995 | Toy Story                                                      | --
 x | anime | 1995 | Whisper of the Heart                                           | --
 x | anime | 1996 | Aladdin and the King of Thieves                                | ♥
 x | anime | 1997 | Anastasia                                                      | --
 x | anime | 1997 | Cats Don't Dance                                               | --
 x | anime | 1997 | Hercules                                                       | --
 x | anime | 1998 | A Bug's Life                                                   | --
 x | anime | 1998 | Antz                                                           | --
 x | anime | 1998 | Batman & Mr. Freeze: SubZero                                   | --
 x | anime | 1998 | Mulan                                                          | --
 x | anime | 1998 | Quest for Camelot                                              | --
 x | anime | 1998 | The Prince of Egypt                                            | --
 x | anime | 1999 | Fantasia 2000                                                  | --
 x | anime | 1999 | Tarzan                                                         | --
 x | anime | 1999 | The Iron Giant                                                 | --
 x | anime | 2000 | Chicken Run                                                    | ♥ ★★★★★ it's good joe
 x | anime | 2000 | Dinosaur                                                       | --
 x | anime | 2000 | For the Birds                                                  | --
 x | anime | 2000 | The Emperor's New Groove                                       | --
 x | anime | 2000 | The Tigger Movie                                               | --
 x | anime | 2001 | Atlantis: The Lost Empire                                      | ♥
 x | anime | 2001 | Cat Soup                                                       | --
 x | anime | 2001 | Monsters, Inc.                                                 | --
