SETTING             | CLASS    | ERA   | TEAM   || YEAR | KEY                       | AMMO          || OWNER     | DESIGNATION               |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
--                  | gpmg     |       |        ||      | nazi_mg42                 |               ||           |                           |
--                  | rifle    |  19XX |        || 1934 | mauser_k98k               | 8mm_mauser    || Mauser    | Karabiner 98 kurz         |
--                  | rifle    |  19XX |        || 1948 | mauser_k98k_is            | 8mm_mauser    || Mauser    | Karabiner 98 kurz Israeli |
--                  | sniper   |  19XX |        || 1986 | faf_giat_frf2             | 762_nato      ||           | FR F2 Sniper              |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
draugb_harbor       | launcher |  19XX | SOVIET || 1970 | rus_ags_17                | 30_29mm_ru    || Russia    | AGS-17 Plamya             |
draugb_harbor       | special  |  19XX | SOVIET || 1975 | rus_aps_special           | 566_39mm_mps  || Russia    | APS Special Underwater AR |
--------------------|----------|-------|--------||------|---------------------------|---------------||-----------|---------------------------|
swat_city           | pdw      |  20XX | GANGER || 2000 | kbp_pp_200                | 9mm_7h21      || KBP       | PP-2000 (9x19mm 7N21 AP)  |
swat_city           | hmg      |  2XXX | USARMY || --   | usa_m2_bmg_bfa_plasma     | 50_bmg_plasma || USA       | M2 BMG BFA Plasma         |
swat_city           | --       | ----- | --     || --   | --                        | --            || --        |                           |
swat_city           | revolver |  20XX | BUREAU || 2009 | ruger_lcr_327             | 327_federal   || Ruger     | LCR (327 Federal)         |
swat_city           |          |  2XXX |        || 2170 | uscmc_m56a2               | 762_nato      || USCMC     | M56A2 Smart               |
swat_city           | pdw      |  20XX | HACKER || 2000 | sbd_cbj_ms                | 650_25mm_cbj  ||           | SBD CBJ-MS                |
swat_city           | saw      |  19XX | ICEPOL || 1994 | colt_lmg                  | 556_nato      || Colt      | Colt LMG                  |
swat_city           | smg      |  19XX | ICEFED || 1982 | colt_633_doe              | 9mm           || Colt      | Model 633 DOE             |
swat_city           | smg      |  19XX | ICEPOL || 1982 | colt_635                  | 9mm           || Colt      | Model 635                 |
swat_city           | smg      |  19XX | ICEMAL || 1982 | colt_636_dea              | 9mm           || Colt      | Model 636 DEA             |
swat_city           | smg      |  19XX | KGBGRU || 1990 | rus_kbp_pp_90             | 9mm_makarov   || KBP       | PP-90 Folding             |
