YEAR | KEY              | LINK
-----|------------------|----------------------------------------------------------
1902 | 9mm_luger        | https://en.wikipedia.org/wiki/9×19mm_Parabellum
1903 | 8mm_mauser       | https://en.wikipedia.org/wiki/7.92×57mm_Mauser
1934 | mauser_k98k      | https://en.wikipedia.org/wiki/Karabiner_98k
1948 | mauser_k98k_is   | https://en.wikipedia.org/wiki/Karabiner_98k
1954 | 762_nato         | https://en.wikipedia.org/wiki/7.62×51mm_NATO
1970 | rus_ags_17       | https://en.wikipedia.org/wiki/AGS-17
1975 | rus_aps_special  | https://en.wikipedia.org/wiki/APS_underwater_rifle
1980 | 556_nato         | https://en.wikipedia.org/wiki/5.56×45mm_NATO
1982 | usa_colt_633_doe | https://en.wikipedia.org/wiki/Colt_9mm_SMG
1982 | usa_colt_635     | https://en.wikipedia.org/wiki/Colt_9mm_SMG
1986 | faf_giat_frf2    | https://en.wikipedia.org/wiki/FR_F2_sniper_rifle
1990 | rus_kbp_pp_90    | https://en.wikipedia.org/wiki/PP-90
1994 | usa_colt_lmg     | https://en.wikipedia.org/wiki/Colt_Automatic_Rifle
2000 | sbd_cbj_ms       | https://en.wikipedia.org/wiki/Saab_Bofors_Dynamics_CBJ-MS
2007 | 650_25mm_cbj     | https://en.wikipedia.org/wiki/6.5×25mm_CBJ
1964 | usa_colt_m16     | https://en.wikipedia.org/wiki/M16_rifle
