DATE       | SLUG        | LINK                                   | TOPIC                    | DESCRIPTION
-----------|-------------|----------------------------------------|---------------------     |--------------------------------------------------------------------------------------------------
---------- | HKdiwghBobg | http://youtube.com/watch?v=HKdiwghBobg | suppression              | This New Suppressor Doesn't Get Hot? Ambient Arms Suppressor
---------- | 8eIbdIxX9Ko | http://youtube.com/watch?v=8eIbdIxX9Ko | --                       | The Cheapest Bullpup You Can Buy — But Is It Any Good?
---------- | KDchNgm6UXI | http://youtube.com/watch?v=KDchNgm6UXI | --                       | What Should a Normal Person Carry When Things Get Bad?
---------- | IdCJNilFjVM | http://youtube.com/watch?v=IdCJNilFjVM | --                       | How a Neutral Country Built One of the Best Combat Rifles Ever
---------- | blNiJDwcUVo | http://youtube.com/watch?v=blNiJDwcUVo | --                       | Duty Grade Rifles: Why The Geissele URGI and Super Duty Punch Way Above Their Price
---------- | 6xQ6zMpltZs | http://youtube.com/watch?v=6xQ6zMpltZs | terminal_ballistic       | How Deadly Is 5.56 At Close Range?
---------- | FkyDmst6fek | http://youtube.com/watch?v=FkyDmst6fek | --                       | UMP45: America Didn't Want it, But Video Games Made It Immortal
---------- | x6_8rUggyX8 | http://youtube.com/watch?v=x6_8rUggyX8 | --                       | The Quietest Assaulter’s Rifle in US SOCOM’s Entire Inventory
---------- | nsDEZYZ-uXU | http://youtube.com/watch?v=nsDEZYZ-uXU | sig_mcx_spear_m7a1       | The US Army's New Rifle Just Got An Upgrade; The M7A1 SPEAR
---------- | 5xmHL8Q4JT0 | http://youtube.com/watch?v=5xmHL8Q4JT0 | 17_hmr                   | How Deadly Is 17 HMR? (Super Small Varmint Round)
---------- | b3jDdKXtzu0 | http://youtube.com/watch?v=b3jDdKXtzu0 | --                       | Two Mags in One, You Twist The Magazine around to Reload; The Mimic Speed 9
---------- | yB3JGdPsR88 | http://youtube.com/watch?v=yB3JGdPsR88 | bt_kh9_sd                | The KH9-SD: How Gun Autism Brought Back The Coolest Gun From The 80’s
---------- | 8hXaipMtw38 | http://youtube.com/watch?v=8hXaipMtw38 | --                       | Does This $6000 Handgun Really Eliminate Recoil?
---------- | 87qpYJsFq0M | http://youtube.com/watch?v=87qpYJsFq0M | evasion                  | How To Evade A Professional Military as a Two Man Team
---------- | ipJ9k8dcmKE | http://youtube.com/watch?v=ipJ9k8dcmKE | hk_mp5_sd                | The MP5SD: The SMG That’s Seen More Brains Than a Brain Surgeon
---------- | eZA3PtkxFH8 | http://youtube.com/watch?v=eZA3PtkxFH8 | --                       | The Upgraded Steyr Aug Might Be One Of The Best Combat Rifles
---------- | Rnk6ZVF8fv0 | http://youtube.com/watch?v=Rnk6ZVF8fv0 | navigation               | How To Navigate In The Wilderness (MAP AND COMPASS)
---------- | x1bfuoi8DaU | http://youtube.com/watch?v=x1bfuoi8DaU | --                       | Is This the Quietest Rifle in History?
---------- | 5xZroYDxAco | http://youtube.com/watch?v=5xZroYDxAco | armor                    | Does Bullet Proof Glass Actually Work?
---------- | 55Q9Wv4gDb8 | http://youtube.com/watch?v=55Q9Wv4gDb8 | --                       | How To Evade The Military as a Civilian (Becoming Deadly In The Mountains)
---------- | zzGzSnh--OE | http://youtube.com/watch?v=zzGzSnh--OE | terminal_ballistic       | Is The 45 AUTO Really as Deadly As History Says it is?
---------- | 3ccajcRHuQs | http://youtube.com/watch?v=3ccajcRHuQs | --                       | The Real Guns Of The Battlefield 6 Open Beta
---------- | 1PrwZGAZJqQ | http://youtube.com/watch?v=1PrwZGAZJqQ | --                       | The Shortest M-14 Variant Springfield Has Made; The SOCOM 16 CQB
---------- | qXeA9v0j6Xk | http://youtube.com/watch?v=qXeA9v0j6Xk | stenzel_sak_21           | The AKM Has Evolved. The American Made SAK-21
---------- | xMnQCDTtt04 | http://youtube.com/watch?v=xMnQCDTtt04 | --                       | The ATF Is Pissed. The MP5 Now Has A Forced Reset Trigger.
---------- | UbNuAmhqer0 | http://youtube.com/watch?v=UbNuAmhqer0 | --                       | The Nazi's Last Design That Became The Rifle Of The Free West
---------- | cn2tGuS8gGY | http://youtube.com/watch?v=cn2tGuS8gGY | --                       | We Made The MP5 W/ M203 From Half Life; You Can Own One
---------- | WIY0OSBi4jA | http://youtube.com/watch?v=WIY0OSBi4jA | --                       | Why Did The US Military Choose This Tiny SMG?
---------- | oC2YD83F1gc | http://youtube.com/watch?v=oC2YD83F1gc | --                       | 40 Years Later, And The M21 Sniper Rifle Was Still Taking Lives
---------- | YLU-Wv94r-4 | http://youtube.com/watch?v=YLU-Wv94r-4 | --                       | The Italian Shotgun Built For Modern Threats: The Beretta 1301.
---------- | b9dDgcb1Ti8 | http://youtube.com/watch?v=b9dDgcb1Ti8 | --                       | Urban Survival Principles: Automobile Glass
---------- | 5MTesvXISIw | http://youtube.com/watch?v=5MTesvXISIw | --                       | The Elite US Special Force's New Sniper Rifle
---------- | QIDi7AJMud8 | http://youtube.com/watch?v=QIDi7AJMud8 | --                       | The Jackal from Black Ops 6 is Real
---------- | egAhILd1tks | http://youtube.com/watch?v=egAhILd1tks | --                       | They Finally Made A Good Bullpup Rifle
---------- | LUvN8TRrFLY | http://youtube.com/watch?v=LUvN8TRrFLY | --                       | The NEW Roller-Delayed KUNA PCC 9mm
---------- | bgvrzHV73rI | http://youtube.com/watch?v=bgvrzHV73rI | --                       | What Is The Deadliest 9mm Self Defense Round?
---------- | yqbdRwWYJio | http://youtube.com/watch?v=yqbdRwWYJio | --                       | Men Want One Thing And It's Disgusting; Apocalypse Vehicles Setup
---------- | -bf0_7yTgkQ | http://youtube.com/watch?v=-bf0_7yTgkQ | --                       | Is This Resurrected Gun Worth The HYPE?
---------- | oB5pNoPpgwg | http://youtube.com/watch?v=oB5pNoPpgwg | --                       | The ATF Absolutely HATES This Trigger
