SETTING       | YEAR | NAME                                           | WHERE                      | LINK
--------------|------|------------------------------------------------|----------------------------|---------------------------------------------------------------------------------------------
swat_city     | 1368 | --                                             | Birmingham, UK             | https://en.wikipedia.org/wiki/Architecture_of_Birmingham
swat_city     | 1781 | Clementium                                     | Prague, Czech Republic     | https://prague.eu/en/objevujte/the-clementinum-astronomical-tower-and-baroque-library
swat_city     | 1873 | Sibley Breaker                                 | Old Forge, Pennsylvania    | https://www.designer-daily.com/massive-wood-structures-of-americas-early-20th-century-109961
swat_city     | 1877 | Galleria Vittorio Emanuele II                  | Milan, Italy               | https://en.wikipedia.org/wiki/Galleria_Vittorio_Emanuele_II
swat_city     | 1892 | Yerkes Observatory                             | Williams Bay, Wisconsin    | https://en.wikipedia.org/wiki/Yerkes_Observatory
swat_city     | 1913 | Natural History Museum of Los Angeles County   | Los Angeles, California    | https://en.wikipedia.org/wiki/Natural_History_Museum_of_Los_Angeles_County
swat_city     | 1937 | Westinghouse Atom Smasher                      | Forest Hills, Pennsylvania | https://en.wikipedia.org/wiki/Westinghouse_Atom_Smasher
swat_city     | 1964 | Habitat 67                                     | Montreal, Quebec           | https://en.wikipedia.org/wiki/Habitat_67
swat_city     | 1968 | Chet Holifield Federal Building "Ziggurat"     | Laguna Niguel, California  | https://en.wikipedia.org/wiki/Chet_Holifield_Federal_Building
swat_city     | 1975 | Stanley R. Mickelsen Safeguard Complex (SRMSC) | Nekoma, North Dakota       | https://en.wikipedia.org/wiki/Stanley_R._Mickelsen_Safeguard_Complex
swat_city     | 2011 | Muskingum County Animal Farm                   | Zanesville, Ohio           | https://en.wikipedia.org/wiki/Zanesville_animal_escape
