DATE       | DESCRIPTION
-----------|-------------------------------------------------------------------------------------------------------------------------------------------------------------------
2024-09-24 | Immigration Officers Outside DHS Facility (Chicago South Loop)
2025-01-26 | ICE Threatened To Deport Texas Man To War Torn Country - Newsweek
2025-01-26 | Lyons, Illinois father Abel Orozco among 22 accusing US immigration agents of illegal ICE arrests; encounter caught on camera - ABC7 Chicago
2025-01-26 | Wife of man arrested by ICE says agents were waiting outside their church in Tucker - WSBTV
2025-01-28 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-01-31 | Immigration agents arrested a U.S. citizen and created warrants after an arrest, lawyers say in court - WBEZ Chicago
2025-02-04 | U.S. citizen child recovering from brain cancer deported to Mexico with undocumented parents
2025-02-07 | Federal judge rules ICE arrests at Liberty restaurant 'unlawful' - FOX4KC
2025-02-10 | HSI raid on Tacos Nganas Memphis
2025-02-26 | Immigration agents detain a Chicago man during school drop-off, officials say - WBEZ Chicago
2025-03-05 | Just following Hispanic people': Citizen detained by ICE questions vote for Trump - News4
2025-03-10 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-03-14 | Gil Rojas v. Venegas
2025-03-17 | Vizguerra-Ramirez v. Choate
2025-03-28 | ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC
2025-03-31 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-04-01 | Prosecutors Drop Only Criminal Cases from Hays County Airbnb Raid - Texas Observer
2025-04-07 | Democrats demand answers after immigration agents visit L.A. schools - Los Angeles Times
2025-04-08 | US citizen wrongfully arrested by border patrol in Arizona held for nearly 10 days - The Guardian
2025-04-11 | South Park San Diego CA Armed Agent Presence
2025-04-14 | New Bedford ICE incident Woman speaks about smashed car window – NBC Boston
2025-04-16 | US citizen held by ICE even after proving he was born in the country - AP News
2025-04-22 | ICE courthouse arrests at Albemarle County Courthouse
2025-04-22 | ICE Deports 3 U.S. Citizen Children Held Incommunicado Prior to the Deportation - ACLU
2025-04-24 | ICE Deports 3 U.S. Citizen Children Held Incommunicado Prior to the Deportation - ACLU
2025-04-24 | U.S.-citizen family 'traumatized' after ICE raided their Oklahoma home in search of someone else - MSNBC
2025-04-25 | Two-year-old US citizen appears to have been deported 'with no meaningful process' Reuters
2025-04-27 | ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC
2025-05-02 | ICE raids Florida: Citizen lived immigrant nightmare of being arrested - USA Today
2025-05-04 | Children Left Behind Inside Truck After ICE Detains Father at Gas Station - Newsweek
2025-05-05 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-05-06 | ICE deports Austin woman and her three kids. Two are U.S. citizens. KUT Radio, Austin's NPR Station
2025-05-08 | Massachusetts police hold girl's face to the ground as ICE arrests her mother, video shows - NBC News
2025-05-09 | Arrest of Newark mayor during ICE protest
2025-05-09 | Judge dismisses Baraka charges, reprimands prosecutors - New Jersey Globe
2025-05-09 | New videos capture tense moments surrounding arrest of Newark mayor - New Jersey Monitor
2025-05-11 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-05-13 | Teen records ICE agents smashing van window in Waltham – NBC Boston
2025-05-19 | ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC
2025-05-20 | Mayhem' as ICE officials arrest multiple people at immigration court in Phoenix - Arizona Mirror
2025-05-21 | ICE agents wait in hallways of immigration court as Trump seeks to deliver on mass arrest pledge - AP
2025-05-21 | New York City public school student detained by ICE at asylum hearing - CBS New York
2025-05-21 | US citizen sues ICE after being arrested twice in Alabama despite showing ID - al.com
2025-05-22 | ICE agents swarm San Diego immigration court, arresting people after their hearings - KBPS
2025-05-22 | San Diego class-action suit says ICE courthouse arrests are illegal KPBS Public Media
2025-05-27 | East Boston man says ICE held him for 2 days despite legal status - Boston.com
2025-05-28 | Federal Agent Activity in Brooklyn (Carroll Gardens), NYC
2025-05-29 | ICE agents arrest migrants at San Antonio immigration court - Texas Public Radio
2025-05-30 | Federal immigration agents raid San Diego restaurants, detain workers - Kens 5
2025-05-31 | What we know about ICE's arrests of a Milford high school student - WBUR
2025-06-02 | ICE detains asylum seeker outside Portland Immigration Court, lawyers say - OPB
2025-06-03 | San Diego class-action suit says ICE courthouse arrests are illegal KPBS Public Media
2025-06-05 | 19-year-old Dreamer describes 15 days in ICE detention: 'Scared and alone' after arrest during traffic stop - NBC News
2025-06-05 | ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC
2025-06-05 | Loma CO Coordinated Traffic Stop and ICE Arrest
2025-06-05 | San Antonio ICE detained more families today at Immigration Court, including three-year-old child - San Antonio Current
2025-06-06 | ICE agent caught on video pulling gun on family in Berclair - localmemphis.com
2025-06-06 | ICE agents mistakenly detain U.S. marshal in Arizona - NBC News
2025-06-06 | Labor leader David Huerta's immigration protest felony charge is reduced - AP News
2025-06-06 | New York NY Manhattan Federal Courthouse Rough Arrests by Federal Agents
2025-06-07 | New York NY Protest Arrests at 26 Federal Plaza
2025-06-07 | Queens high school student detained after immigration court hearing, officials say - CBS News
2025-06-09 | Pregnant U.S. citizen detained by border patrol agents in L.A. County: ‘We didn’t do anything wrong’ KTLA
2025-06-11 | Downey Reverend describes how ICE targeted her church - Calo News
2025-06-11 | Video shows unmarked vehicles ram car in ICE arrest in east Los Angeles - KTLA
2025-06-12 | California Senator Forcibly Removed and Handcuffed After Interrupting Noem - The New York Times
2025-06-12 | Deaf, mute, terrified: ICE arrests DACA recipient, sends him to Texas - Los Angeles Times
2025-06-12 | ICE agents detain people outside Virginia immigration court, strong-arm activists filming - News4
2025-06-12 | U.S. citizen describes detention by federal agents at Montebello tow yard – NBC Los Angeles
2025-06-12 | US citizen sues ICE after being arrested twice in Alabama despite showing ID - al.com
2025-06-12 | Video shows immigration agents interrogating a Latino U.S. citizen: 'I'm American, bro.' - LA Times
2025-06-14 | Live-streaming journalist Mario Guevara deported to El Salvador after months in ICE custody - CNN Business
2025-06-14 | Shock and disbelief': U.S. citizen says ICE arrested her during Santa Ana park raid - Los Angeles Times
2025-06-16 | Oxnard Man Released After Being Detained by ICE Agents While Filming Father's Arrest - News Channel 3
2025-06-17 | Brad Lander Is Arrested by ICE Agents at Immigration Courthouse - The New York Times
2025-06-17 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-06-17 | Federal Agent Activity in Brooklyn (Greenpoint), NYC
2025-06-17 | Federal Agent Activity in Manhattan (uptown), NYC
2025-06-17 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-06-18 | Lawyers say Alabama father deported to Laos despite court order blocking removal AP News
2025-06-18 | Pedro Vasquez Perdomo v. Kristi Noem
2025-06-18 | Plainclothes federal agent draws gun on man at stoplight in Pasadena - KTLA
2025-06-19 | Border Patrol arrested her selling tamales. Then she suffered a heart attack. 'I told them: I can't breathe' - Los Angeles Times
2025-06-19 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-06-20 | ICE secretly deported Pennsylvania grandfather, 82, after he lost his Green Card - The Independent
2025-06-20 | ICE targets men on Inland Empire church grounds - CalMatters
2025-06-20 | U.S. Citizen seeks $1M after arrest, detention for recording immigration raid at Home Depot - NBC News
2025-06-24 | ICE arrests at L.A. courthouse met with alarm: 'Absolutely blindsided' - Los Angeles Times
2025-06-24 | U.S. citizen detained by ICE in L.A. says she wasn't given water for 24 hours - NBC News
2025-06-24 | You gonna let him die?' Agents pile on protester, who convulses and struggles to breathe - Los Angeles Times
2025-06-25 | Hallowed ground, desecrated': ICE sweeps at Chesterfield court draw fierce backlash - Virginia Mercury
2025-06-26 | Immigration Officers Smash Car Windows to Speed Up Arrests - ProPublica
2025-06-27 | Federal Agent Activity in Brooklyn (Bed Stuy), NYC
2025-07-01 | Middletown NY Home Visit by ICE Agents
2025-07-03 | Presence of detention officers at Glendale hospital sparks outrage following woman's ICE arrest - ABC7
2025-07-08 | ICE arrests asylum seeker after Sacramento court hearing - CapRadio
2025-07-09 | Ohio Chaplain Ayman Soliman Freed From Jail as DHS Drops Deportation Case - ProPublica
2025-07-10 | Family of Glass House workers files wrongful death claim over ICE raid - Ventura County Star
2025-07-10 | I'm a U.S. citizen who was wrongly arrested and held by ICE. Here's why you could be next - San Francisco Chronicle
2025-07-10 | ICE agents handcuff and detain 71-year old U.S. Citizen - NBC News
2025-07-14 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-07-14 | Federal Agent Activity in Brooklyn (Flatbush), NYC
2025-07-15 | ‘Daddy, police!’: New video shows masked ICE agents arrest father outside child’s school in Beaverton - OPB
2025-07-16 | Rally held outside of Philadelphia courthouse in response to controversial arrest by ICE - CBS News Philadelphia
2025-07-17 | Immigration officials release Twin Cities mom from custody after federal judge order - MPRnews
2025-07-18 | ACLU leads lawsuit against 'indiscriminate' ICE arrests in Colorado - KUNC
2025-07-21 | Border agents detained a Vermont superintendent and searched his devices. WBUR News
2025-07-21 | Hernandez v. Noem
2025-07-21 | Scientist with green card held for a week without explanation, lawyer says - The Washington Post
2025-07-23 | Federal Agent Activity in Manhattan (Washington Heights), NYC
2025-07-24 | A Bay-Area asylum-seeker miscarried in ICE detention. There are more like her - San Francisco Chronicle
2025-07-24 | Federal Agent Activity in Manhattan (Washington Heights), NYC
2025-07-29 | Grandmother detained by ICE after 47 years living legally in US over $22 bad check - The Mirror US
2025-07-29 | US Citizen Responds to Being Asked to Shave Beard by ICE Agents - Newsweek
2025-07-30 | He has a green card and a brain tumor. DHS wants to deport him for forgery with no proof. - The Intercept
2025-07-30 | ICE Agent Pulls Gun on Woman During Raid, Ring Camera Shows - Newsweek
2025-08-01 | Legal Orgs Sue Trump Admin Over Unlawful Policy of Arresting People Who Attend Mandated Court Hearings American Civil Liberties Union
2025-08-01 | Pablo Sequen v. Kaiser
2025-08-01 | Studio City balloon shop owner distraught after wife detained by ICE - ABC7
2025-08-06 | Pregnant US Citizen speaks out after being detained by ICE agents searching for her husband - NBC4 News
2025-08-06 | What we know about ICE arrest of a parent outside Chula Vista elementary school - KPBS
2025-08-07 | ICE contractor locked an immigrant and her baby at an O'Hare hotel for five days - Injustice Watch
2025-08-08 | Federal judge in northwest Iowa orders the release of Armando Garcia Picazo WVIK, Quad Cities NPR
2025-08-08 | Los Angeles nurse released from ICE custody without charges KTLA
2025-08-08 | Video: ICE officers tackle and detain San Francisco protesters - Mission Local
2025-08-09 | ICE Held Child Incommunicado at Secret Hotel, Deported Him - The Intercept
2025-08-11 | ICE detention of student was 'unconstitutional racial profiling', family alleges in claim - Los Angeles Times
2025-08-11 | Mass. mom detained by ICE for 10 days over decades-old minor marijuana charge - masslive.com
2025-08-12 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-13 | DACA recipient held in NM ICE detention released after federal judge's order - Source NM
2025-08-13 | ICE arrest outside Los Angeles courthouse
2025-08-13 | Portland man sues DHS after video shows federal agent tackling him from behind at protest - FOX 12
2025-08-13 | Then They Came for the Dreamers Mother Jones
2025-08-14 | ICE agents detain 6 at East Oakland home, including a minor – NBC Bay Area
2025-08-14 | San Diego Unified responds to ICE arrest outside Linda Vista Elementary - KBPS
2025-08-15 | ICE makes unusual arrest of indigenous woman in S.F. immigration court - Mission Local
2025-08-16 | Federal immigration agents shoot San Bernardino man's car, authorities say - CBS Los Angeles
2025-08-16 | Federal officers detain, tackle moped driver amid Trump D.C. police crackdown - The Washington Post
2025-08-16 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-17 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-18 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-19 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-20 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-20 | ICE arrest outside Encinitas elementary school sparks public outcry - Times of San Diego
2025-08-21 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-08-21 | Portland school relocates after unrest at ICE facility creates safety concerns - kgw.com
2025-08-22 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-22 | US citizen says he was racially profiled as federal agents detained him outside his job - FOX 11 Los Angeles
2025-08-26 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-08-27 | Judge Orders ICE To 'Release' Injured Man Held In Hospital For 37 Days Without Charges - L.A. Taco
2025-08-27 | Lawmakers push for answers days after Border Patrol detains crew workers helping firefighters in Washington Blaze - CNN
2025-08-31 | A judge blocks the deportation of Guatemalan children already waiting on the tarmac to be sent back - AP News
2025-08-31 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-03 | Federal Agent Activity in Queens (Woodside), NYC
2025-09-04 | She Was Deported in Error. Her Child Was Left Behind - The New York Times
2025-09-04 | Some South Korean Workers Return to Georgia Factory After U.S. Reissues Visas - The New York Times
2025-09-07 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-08 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-09 | 79-year-old US citizen injured in Los Angeles immigration raid files $50 million claim - AP
2025-09-09 | Federal Agent Activity in Brooklyn (Sunset Park), NYC
2025-09-09 | Woman detained by federal agents during California immigration raid faints - KTLA 5
2025-09-10 | Federal Agent Activity in Queens (Corona), NYC
2025-09-10 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
2025-09-11 | ICE arrest of a Portland parent near an elementary school sparks widespread fear - Maine Public
2025-09-11 | ICE in Oregon: Pointing rifles at family, stopping teens at gunpoint, pinning man during arrest - The Oregonian
2025-09-12 | California Armed ICE Encounter and Arrest of José Campoyo
2025-09-12 | Franklin Park IL Killing of Silverio Villegas González
2025-09-12 | Killing of Silverio Villegas González by ICE agents
2025-09-12 | Local Police Chief Tears Into ICE for Exposing His Offices to Tear Gas - Newsweek
2025-09-12 | Videos of fatal ICE shooting in Chicago raise questions about DHS account - The Washington Post
2025-09-13 | 7 workers taken from Long Beach carwash during weekend immigration raid, manager says - Long Beach Post News
2025-09-13 | Federal Agent Activity in Brooklyn (Bushwick), NYC
2025-09-14 | ICE arrests Afghan man with brain cancer in Methuen. Now, he’s hundreds of miles from his doctors WBUR News
2025-09-15 | Children left short of clean water and sleep amid 'prolonged' detention by ICE, watchdog groups allege - The Guardian
2025-09-15 | How a Former Trump Golf Club Worker Was Mistakenly Deported to Mexico - The New York Times
2025-09-16 | 2 apparent US citizens swept up by ICE in Elgin, Illinois; Melrose Park protest gets underway with Kristi Noem in Chicago area - ABC7 Chicago
2025-09-16 | Lawsuit accuses ICE of illegally arresting Latino immigrants in D.C. - Washington Post
